datetime,before,PO4P,TN,pH,frozen,assaydate,obsdate
2018-09-05T06:00:00Z,FALSE,4.51,5.02,NA,TRUE,2018-09-06,2018-09-05
2018-09-05T06:00:00Z,TRUE,9.81,9.82,NA,TRUE,2018-09-06,2018-09-05
2018-09-06T06:00:00Z,FALSE,7.29,8.83,NA,TRUE,2018-09-17,2018-09-06
2018-09-06T06:00:00Z,TRUE,10.4,9.29,NA,TRUE,2018-09-17,2018-09-06
2018-09-10T06:00:00Z,FALSE,1.37,4.72,NA,TRUE,2018-09-13,2018-09-10
2018-09-10T07:15:00Z,TRUE,10.1,1.85,NA,TRUE,2018-09-13,2018-09-10
2018-09-11T06:00:00Z,FALSE,5.3500000000000005,1.22,NA,TRUE,2018-09-13,2018-09-11
2018-09-11T07:10:00Z,TRUE,9.96,5.58,NA,TRUE,2018-09-13,2018-09-11
2018-09-12T06:00:00Z,FALSE,5.550000000000001,3.95,NA,TRUE,2018-09-13,2018-09-12
2018-09-12T07:15:00Z,TRUE,10.1,9.42,NA,TRUE,2018-09-13,2018-09-12
2018-09-13T06:00:00Z,FALSE,6.54,8.38,NA,TRUE,2018-09-17,2018-09-13
2018-09-13T07:20:00Z,TRUE,9.93,9.75,NA,TRUE,2018-09-17,2018-09-13
2018-09-17T06:00:00Z,FALSE,2.05,5.43,NA,TRUE,2018-09-20,2018-09-17
2018-09-17T07:05:00Z,TRUE,10.700000000000001,2.31,NA,TRUE,2018-09-20,2018-09-17
2018-09-18T06:00:00Z,FALSE,4.069999999999999,1.17,NA,TRUE,2018-09-20,2018-09-18
2018-09-18T07:10:00Z,TRUE,9.15,6.3,NA,TRUE,2018-09-20,2018-09-18
2018-09-19T06:00:00Z,FALSE,4.58,4.56,NA,TRUE,2018-09-20,2018-09-19
2018-09-19T07:05:00Z,TRUE,7.69,9.72,NA,TRUE,2018-09-20,2018-09-19
2018-09-20T06:00:00Z,FALSE,5.41,8.1,NA,FALSE,2018-09-20,2018-09-20
2018-09-20T07:05:00Z,TRUE,8.870000000000001,8.09,NA,FALSE,2018-09-20,2018-09-20
2018-09-24T05:55:00Z,FALSE,4.35,4.4,NA,TRUE,2018-09-27,2018-09-24
2018-09-24T07:15:00Z,TRUE,8.43,1.19,NA,TRUE,2018-09-27,2018-09-24
2018-09-25T06:00:00Z,FALSE,5.84,0.993,NA,TRUE,2018-09-27,2018-09-25
2018-09-25T07:10:00Z,TRUE,7.65,6.68,NA,TRUE,2018-09-27,2018-09-25
2018-09-26T06:00:00Z,FALSE,5.3500000000000005,4.67,NA,TRUE,2018-09-27,2018-09-26
2018-09-26T07:10:00Z,TRUE,7.84,11.4,NA,TRUE,2018-09-27,2018-09-26
2018-09-27T06:00:00Z,FALSE,6.3,9.68,NA,FALSE,2018-09-27,2018-09-27
2018-09-27T07:10:00Z,TRUE,8.74,11.9,NA,FALSE,2018-09-27,2018-09-27
2018-10-01T06:00:00Z,FALSE,2.18,8.15,8.3,TRUE,2018-10-09,2018-10-01
2018-10-01T07:15:00Z,TRUE,9.15,1.26,6.7,TRUE,2018-10-09,2018-10-01
2018-10-02T06:00:00Z,FALSE,4.29,1.02,8.1,TRUE,2018-10-09,2018-10-02
2018-10-02T07:15:00Z,TRUE,8.16,6.05,6.9,TRUE,2018-10-09,2018-10-02
2018-10-04T06:00:00Z,FALSE,3.02,3.55,8.3,TRUE,2018-10-09,2018-10-04
2018-10-04T07:15:00Z,TRUE,7.58,3.55,6.8,TRUE,2018-10-09,2018-10-04
2018-10-08T06:00:00Z,FALSE,1.7999999999999998,1.19,8.5,TRUE,2018-10-09,2018-10-08
2018-10-08T07:15:00Z,TRUE,9.8,1.47,6.9,TRUE,2018-10-09,2018-10-08
2018-10-09T05:55:00Z,FALSE,5.04,1.19,8.1,TRUE,2018-10-16,2018-10-09
2018-10-09T07:10:00Z,TRUE,9.02,8.43,6.8,TRUE,2018-10-16,2018-10-09
2018-10-10T06:00:00Z,FALSE,5.6000000000000005,6.06,8,TRUE,2018-10-16,2018-10-10
2018-10-10T07:10:00Z,TRUE,8.94,13.4,6.7,TRUE,2018-10-16,2018-10-10
2018-10-11T05:55:00Z,FALSE,5.36,12.1,8,TRUE,2018-10-16,2018-10-11
2018-10-11T07:10:00Z,TRUE,8.91,12.5,6.8,TRUE,2018-10-16,2018-10-11
2018-10-15T06:00:00Z,FALSE,3.19,9.79,8.1,TRUE,2018-10-16,2018-10-15
2018-10-15T07:15:00Z,TRUE,11.100000000000001,1.58,6.8,TRUE,2018-10-16,2018-10-15
2018-10-16T05:55:00Z,FALSE,5.67,1.27,8,TRUE,2018-09-18,2018-10-16
2018-10-16T07:10:00Z,TRUE,9.91,4.55,6.8,TRUE,2018-09-18,2018-10-16
2018-10-17T06:00:00Z,FALSE,5.949999999999999,4.15,8,TRUE,2018-09-18,2018-10-17
2018-10-17T07:15:00Z,TRUE,9.73,9.63,6.8,TRUE,2018-09-18,2018-10-17
2018-10-18T06:00:00Z,FALSE,8.53,8.98,8,FALSE,2018-09-18,2018-10-18
2018-10-18T07:15:00Z,TRUE,10.3,6.2,6.8,FALSE,2018-09-18,2018-10-18
2018-10-22T05:55:00Z,FALSE,3.4399999999999995,3.77,8.1,TRUE,2018-10-23,2018-10-22
