id,date,atom,proportion,sd
ATS_2 17.09.2018,2018-09-17T00:00:00Z,S,0.32,0.03
ATS_3 24.09.2018,2018-09-24T00:00:00Z,S,0.326,0.018
ATS_4 01.10.2018,2018-10-01T00:00:00Z,S,0.38,0.02
ATS_1 08.10.2018,2018-10-08T00:00:00Z,S,0.349,0.016
ATS_5 15.10.2018,2018-10-15T00:00:00Z,S,0.352,0.019
ATS_6 22.10.2018,2018-10-22T00:00:00Z,S,0.319,0.016
ATS_2 17.09.2018,2018-09-17T00:00:00Z,P,8.8,0.3
ATS_3 24.09.2018,2018-09-24T00:00:00Z,P,9.4,0.3
ATS_4 01.10.2018,2018-10-01T00:00:00Z,P,7.6,0.2
ATS_1 08.10.2018,2018-10-08T00:00:00Z,P,7.39,0.16
ATS_5 15.10.2018,2018-10-15T00:00:00Z,P,7.44,0.13
ATS_6 22.10.2018,2018-10-22T00:00:00Z,P,8.1,0.2
ATS_2 17.09.2018,2018-09-17T00:00:00Z,K,0.22,0.02
ATS_3 24.09.2018,2018-09-24T00:00:00Z,K,0.325,0.018
ATS_4 01.10.2018,2018-10-01T00:00:00Z,K,0.416,0.012
ATS_1 08.10.2018,2018-10-08T00:00:00Z,K,0.41,0.03
ATS_5 15.10.2018,2018-10-15T00:00:00Z,K,0.313,0.019
ATS_6 22.10.2018,2018-10-22T00:00:00Z,K,0.28,0.016
ATS_2 17.09.2018,2018-09-17T00:00:00Z,Ca,16.9,0.9
ATS_3 24.09.2018,2018-09-24T00:00:00Z,Ca,17.7,0.8
ATS_4 01.10.2018,2018-10-01T00:00:00Z,Ca,14.1,0.9
ATS_1 08.10.2018,2018-10-08T00:00:00Z,Ca,14.4,0.5
ATS_5 15.10.2018,2018-10-15T00:00:00Z,Ca,13.71,0.12
ATS_6 22.10.2018,2018-10-22T00:00:00Z,Ca,15.3,0.5
ATS_2 17.09.2018,2018-09-17T00:00:00Z,Mg,1.2,0.07
ATS_3 24.09.2018,2018-09-24T00:00:00Z,Mg,1.15,0.05
ATS_4 01.10.2018,2018-10-01T00:00:00Z,Mg,0.89,0.07
ATS_1 08.10.2018,2018-10-08T00:00:00Z,Mg,0.84,0.04
ATS_5 15.10.2018,2018-10-15T00:00:00Z,Mg,0.848,0.009
ATS_6 22.10.2018,2018-10-22T00:00:00Z,Mg,0.91,0.04
ATS_2 17.09.2018,2018-09-17T00:00:00Z,Mn,0.045,0.004
ATS_3 24.09.2018,2018-09-24T00:00:00Z,Mn,0.043,0.002
ATS_4 01.10.2018,2018-10-01T00:00:00Z,Mn,0.0433,0.0016
ATS_1 08.10.2018,2018-10-08T00:00:00Z,Mn,0.0341,0.0018
ATS_5 15.10.2018,2018-10-15T00:00:00Z,Mn,0.038,0.002
ATS_6 22.10.2018,2018-10-22T00:00:00Z,Mn,0.039,0.003
ATS_2 17.09.2018,2018-09-17T00:00:00Z,C,20.6,0.51
ATS_3 24.09.2018,2018-09-24T00:00:00Z,C,21.4,0.43
ATS_4 01.10.2018,2018-10-01T00:00:00Z,C,23.9,0.16
ATS_1 08.10.2018,2018-10-08T00:00:00Z,C,23.1,0.27
ATS_5 15.10.2018,2018-10-15T00:00:00Z,C,21.4,NA
ATS_6 22.10.2018,2018-10-22T00:00:00Z,C,20.2,NA
ATS_2 17.09.2018,2018-09-17T00:00:00Z,N,3.05,0.14
ATS_3 24.09.2018,2018-09-24T00:00:00Z,N,3.19,0.05
ATS_4 01.10.2018,2018-10-01T00:00:00Z,N,3.98,0.06
ATS_1 08.10.2018,2018-10-08T00:00:00Z,N,3.41,0.03
ATS_5 15.10.2018,2018-10-15T00:00:00Z,N,3.38,0.05
ATS_6 22.10.2018,2018-10-22T00:00:00Z,N,3.02,0.07
